Gene	CGC	Publications	Cancer type frequency per number of publications
PPIL1	No	1	"Colorectal Cancer":100%;
PPIP5K1	No	1	"Blood Cancer":100%;
PPL	No	1	"Blood Cancer":100%;
PPM1E	No	1	"Blood Cancer":100%;
PPM1F	No	1	"Colorectal Cancer":100%;
PPM1H	No	1	"Blood Cancer":100%;
PPM1J	No	1	"Colorectal Cancer":100%;
PPM1K	No	1	"Liver Cancer":100%;
PPM1M	No	1	"Colorectal Cancer":100%;
PPM1N	No	1	"Colorectal Cancer":100%;
PPP1R12B	No	1	"Blood Cancer":100%;
PPP1R12C	No	1	"Liver Cancer":100%;
PPP1R14B	No	1	"Colorectal Cancer":100%;
PPP1R16B	No	1	"Blood Cancer":100%;
PPP1R18	No	1	"Colorectal Cancer":100%;
PPP1R1B	No	1	"Colorectal Cancer":100%;
PPP1R32	No	1	"Blood Cancer":100%;
PPP1R35	No	1	"Colorectal Cancer":100%;
PPP1R3C	No	1	"Colorectal Cancer":100%;
PPP1R3E	No	1	"Blood Cancer":100%;
PPP1R42	No	1	"Blood Cancer":100%;
PPP2R2B	No	1	"Colorectal Cancer":100%;
PPP2R3C	No	1	"Blood Cancer":100%;
PPP3CC	No	1	"Blood Cancer":100%;
PPP4R4	No	1	"Liver Cancer":100%;
PPP5C	No	1	"Colorectal Cancer":100%;
PPP6R1	No	1	"Liver Cancer":100%;
PPP6R2	No	1	"Blood Cancer":100%;
PPY	No	1	"Colorectal Cancer":100%;
SLC66A1	No	1	"Colorectal Cancer":100%;
SLC66A3	No	1	"Colorectal Cancer":100%;
"PRAMEF8 PRAMEF7"	No	1	"Blood Cancer":100%;
PRC1	No	1	"Colorectal Cancer":100%;
PRDM10	No	1	"Colorectal Cancer":100%;
PRDM12	No	1	"Colorectal Cancer":100%;
PRDM15	No	1	"Blood Cancer":100%;
PRDM4	No	1	"Blood Cancer":100%;
PRDM5	No	1	Sarcoma:100%;
PRDX4	No	1	"Colorectal Cancer":100%;
PRELID3A	No	1	"Blood Cancer":100%;
PREPL	No	1	"Colorectal Cancer":100%;
PREX1	No	1	"Blood Cancer":100%;
PRF1	Yes	1	"Colorectal Cancer":100%;
PRG4	No	1	"Blood Cancer":100%;
PRICKLE1	No	1	"Blood Cancer":100%;
PRIM2	No	1	"Pancreatic Cancer":100%;
PRIMPOL	No	1	"Blood Cancer":100%;
PRKAA1	No	1	"Colorectal Cancer":100%;
PRKACA	Yes	1	"Blood Cancer":100%;
PRKACB	No	1	"Blood Cancer":100%;
PRKAG3	No	1	"Blood Cancer":100%;
PRKAR1B	No	1	"Colorectal Cancer":100%;
PRKAR2B	No	1	"Blood Cancer":100%;
PRKCB	Yes	1	"Blood Cancer":100%;
PRKCH	No	1	"Skin Cancer":100%;
PRKCQ	No	1	"Blood Cancer":100%;
PRKDC	No	1	"Blood Cancer":100%;
PRMT3	No	1	"Nervous System Cancer":100%;
PRMT6	No	1	"Blood Cancer":100%;
PRMT8	No	1	"Colorectal Cancer":100%;
PRMT9	No	1	"Blood Cancer":100%;
PROB1	No	1	"Colorectal Cancer":100%;
PROC	No	1	"Blood Cancer":100%;
PROCR	No	1	"Blood Cancer":100%;
PRODH2	No	1	"Liver Cancer":100%;
PRORP	No	1	"Blood Cancer":100%;
PROS1	No	1	"Blood Cancer":100%;
PRPF31	No	1	"Blood Cancer":100%;
PRPF4	No	1	"Colorectal Cancer":100%;
PRPF40B	Yes	1	"Colorectal Cancer":100%;
PRPF8	No	1	"Liver Cancer":100%;
PRPH	No	1	"Colorectal Cancer":100%;
PRPS1	No	1	"Pancreatic Cancer":100%;
PRR14L	No	1	"Blood Cancer":100%;
PRR15L	No	1	"Blood Cancer":100%;
PRR16	No	1	"Liver Cancer":100%;
PRR3	No	1	"Blood Cancer":100%;
PRR36	No	1	"Colorectal Cancer":100%;
PRR5	No	1	"Blood Cancer":100%;
PRR5L	No	1	"Blood Cancer":100%;
PRR7	No	1	"Colorectal Cancer":100%;
PRRC1	No	1	"Liver Cancer":100%;
PRRX1	Yes	1	Sarcoma:100%;
DRGX	No	1	"Blood Cancer":100%;
PRSS16	No	1	"Blood Cancer":100%;
PRSS21	No	1	"Colorectal Cancer":100%;
PRSS33	No	1	"Colorectal Cancer":100%;
PRSS36	No	1	"Blood Cancer":100%;
PRSS41	No	1	"Colorectal Cancer":100%;
PRSS46P	No	1	"Blood Cancer":100%;
PRSS50	No	1	"Blood Cancer":100%;
PRSS53	No	1	"Blood Cancer":100%;
PRSS54	No	1	"Colorectal Cancer":100%;
PRTG	No	1	"Colorectal Cancer":100%;
PRTN3	No	1	"Colorectal Cancer":100%;
PRUNE2	No	1	"Blood Cancer":100%;
PRX	No	1	"Blood Cancer":100%;
PRXL2A	No	1	"Colorectal Cancer":100%;
PRXL2B	No	1	"Blood Cancer":100%;
PSD	No	1	"Blood Cancer":100%;
PSD4	No	1	"Blood Cancer":100%;
PSEN2	No	1	"Blood Cancer":100%;
PSIP1	Yes	1	"Nervous System Cancer":100%;
PSMA2	No	1	"Nervous System Cancer":100%;
PSMA4	No	1	"Colorectal Cancer":100%;
PSMA7	No	1	"Colorectal Cancer":100%;
PSMA8	No	1	"Blood Cancer":100%;
PSMB10	No	1	"Colorectal Cancer":100%;
PSMB11	No	1	"Blood Cancer":100%;
PSMB6	No	1	"Colorectal Cancer":100%;
PSMC2	No	1	"Liver Cancer":100%;
PSMC3	No	1	"Colorectal Cancer":100%;
PSMC4	No	1	"Blood Cancer":100%;
PSMC5	No	1	"Colorectal Cancer":100%;
PSMD7	No	1	"Blood Cancer":100%;
PSME1	No	1	"Colorectal Cancer":100%;
PSME2	No	1	"Colorectal Cancer":100%;
PSME3	No	1	"Blood Cancer":100%;
PSMG2	No	1	"Colorectal Cancer":100%;
PSMG3	No	1	"Colorectal Cancer":100%;
PSPN	No	1	"Colorectal Cancer":100%;
PSTK	No	1	"Blood Cancer":100%;
PSTPIP1	No	1	"Blood Cancer":100%;
PSTPIP2	No	1	"Blood Cancer":100%;
PTAFR	No	1	"Colorectal Cancer":100%;
PTAR1	No	1	"Blood Cancer":100%;
ATP5MF-PTCD1	No	1	"Blood Cancer":100%;
PTCH2	No	1	Sarcoma:100%;
PTCHD3	No	1	"Blood Cancer":100%;
PTCRA	No	1	"Colorectal Cancer":100%;
PTDSS1	No	1	"Nervous System Cancer":100%;
PTGDR	No	1	"Liver Cancer":100%;
PTGDR2	No	1	"Blood Cancer":100%;
PTGDS	No	1	"Blood Cancer":100%;
PTGES2	No	1	"Colorectal Cancer":100%;
PTGES3L	No	1	"Blood Cancer":100%;
PTGFRN	No	1	"Breast Cancer":100%;
PTGIS	No	1	"Blood Cancer":100%;
PTH1R	No	1	"Colorectal Cancer":100%;
PTK6	Yes	1	"Blood Cancer":100%;
PTK7	No	1	"Blood Cancer":100%;
PTMA	No	1	"Nervous System Cancer":100%;
PTP4A3	No	1	"Blood Cancer":100%;
PTPA	No	1	"Blood Cancer":100%;
PTPN23	No	1	"Blood Cancer":100%;
PTPN4	No	1	"Blood Cancer":100%;
PTPN6	Yes	1	"Blood Cancer":100%;
PTPRB	Yes	1	"Colorectal Cancer":100%;
PTPRCAP	No	1	"Blood Cancer":100%;
PTPRN2	No	1	"Liver Cancer":100%;
PTPRO	No	1	"Colorectal Cancer":100%;
PTPRR	No	1	"Pancreatic Cancer":100%;
PTPRU	No	1	"Colorectal Cancer":100%;
PTPRZ1	No	1	"Skin Cancer":100%;
PTRH1	No	1	"Colorectal Cancer":100%;
PTX4	No	1	"Colorectal Cancer":100%;
PUF60	No	1	"Colorectal Cancer":100%;
PUS10	No	1	"Blood Cancer":100%;
PUS3	No	1	"Blood Cancer":100%;
PXDC1	No	1	"Liver Cancer":100%;
PXT1	No	1	"Nervous System Cancer":100%;
PYCARD	No	1	"Colorectal Cancer":100%;
PYCR1	No	1	Sarcoma:100%;
PYCR2	No	1	"Blood Cancer":100%;
PYURF	No	1	"Colorectal Cancer":100%;
PYY	No	1	"Colorectal Cancer":100%;
QARS1	No	1	"Blood Cancer":100%;
QPCTL	No	1	"Colorectal Cancer":100%;
QRFP	No	1	"Colorectal Cancer":100%;
QTRT1	No	1	"Pancreatic Cancer":100%;
R3HCC1	No	1	"Blood Cancer":100%;
R3HDM4	No	1	"Colorectal Cancer":100%;
RAB11FIP1	No	1	"Colorectal Cancer":100%;
RAB11FIP2	No	1	"Blood Cancer":100%;
RAB11FIP3	No	1	"Blood Cancer":100%;
RAB15	No	1	"Colorectal Cancer":100%;
RAB1B	No	1	"Blood Cancer":100%;
RAB21	No	1	"Gastric Cancer":100%;
RAB25	No	1	"Colorectal Cancer":100%;
RAB26	No	1	"Blood Cancer":100%;
RAB27B	No	1	"Blood Cancer":100%;
RAB28	No	1	"Blood Cancer":100%;
RAB2B	No	1	"Colorectal Cancer":100%;
RAB36	No	1	"Blood Cancer":100%;
RAB37	No	1	"Blood Cancer":100%;
RAB3D	No	1	"Blood Cancer":100%;
RAB3GAP1	No	1	"Blood Cancer":100%;
RAB3IP	No	1	"Pancreatic Cancer":100%;
RAB40B	No	1	"Blood Cancer":100%;
RAB4A	No	1	"Colorectal Cancer":100%;
RAB5B	No	1	"Gastric Cancer":100%;
RABEP2	No	1	"Blood Cancer":100%;
RABIF	No	1	"Blood Cancer":100%;
RABL3	No	1	"Liver Cancer":100%;
RACK1	No	1	"Liver Cancer":100%;
RAD17	Yes	1	"Colorectal Cancer":100%;
RAD23A	No	1	"Colorectal Cancer":100%;
RAD51	No	1	"Blood Cancer":100%;
RAD51AP1	No	1	"Nervous System Cancer":100%;
RAD51B	Yes	1	"Blood Cancer":100%;
RAD51C	No	1	"Blood Cancer":100%;
RAD54B	No	1	"Blood Cancer":100%;
RADIL	No	1	"Colorectal Cancer":100%;
RADX	No	1	"Colorectal Cancer":100%;
RALGPS1	No	1	"Blood Cancer":100%;
RAMP1	No	1	"Blood Cancer":100%;
RAMP2	No	1	"Blood Cancer":100%;
RANBP1	No	1	"Colorectal Cancer":100%;
RANGRF	No	1	"Blood Cancer":100%;
RAP2C	No	1	"Liver Cancer":100%;
RAPGEF1	No	1	"Blood Cancer":100%;
RAPGEFL1	No	1	"Colorectal Cancer":100%;
RAPH1	No	1	"Blood Cancer":100%;
RAPSN	No	1	"Colorectal Cancer":100%;
RARB	No	1	"Colorectal Cancer":100%;
RARRES2	No	1	"Liver Cancer":100%;
RARS2	No	1	"Blood Cancer":100%;
RASA3	No	1	"Blood Cancer":100%;
RASA4	No	1	"Blood Cancer":100%;
RASAL2	No	1	"Nervous System Cancer":100%;
RASAL3	No	1	"Colorectal Cancer":100%;
RASGEF1B	No	1	"Liver Cancer":100%;
RASGEF1C	No	1	"Blood Cancer":100%;
RASGRF2	No	1	"Nervous System Cancer":100%;
RASGRP2	No	1	"Blood Cancer":100%;
RASIP1	No	1	"Blood Cancer":100%;
RASL10A	No	1	"Colorectal Cancer":100%;
RASL10B	No	1	"Colorectal Cancer":100%;
RASL11A	No	1	"Colorectal Cancer":100%;
RASSF5	No	1	"Blood Cancer":100%;
RASSF8	No	1	"Skin Cancer":100%;
RAVER2	No	1	"Blood Cancer":100%;
RBBP5	No	1	"Blood Cancer":100%;
RBBP8	No	1	"Blood Cancer":100%;
RBCK1	No	1	"Colorectal Cancer":100%;
RBFA	No	1	"Blood Cancer":100%;
RBFOX3	No	1	"Nervous System Cancer":100%;
RBKS	No	1	"Blood Cancer":100%;
RBM12B	No	1	"Liver Cancer":100%;
RBM18	No	1	Sarcoma:100%;
RBM19	No	1	"Nervous System Cancer":100%;
RBM22	No	1	"Liver Cancer":100%;
RBM7	No	1	"Pancreatic Cancer":100%;
RBM8A	No	1	"Colorectal Cancer":100%;
RBMS2	No	1	"Blood Cancer":100%;
RBP7	No	1	"Colorectal Cancer":100%;
RBPJL	No	1	"Colorectal Cancer":100%;
RC3H2	No	1	"Nervous System Cancer":100%;
RCAN3	No	1	"Colorectal Cancer":100%;
RCC2	No	1	"Colorectal Cancer":100%;
RCE1	No	1	"Colorectal Cancer":100%;
RCSD1	No	1	"Blood Cancer":100%;
RDH11	No	1	"Blood Cancer":100%;
RDH5	No	1	"Liver Cancer":100%;
REC114	No	1	"Colorectal Cancer":100%;
RECQL4	Yes	1	"Colorectal Cancer":100%;
REEP2	No	1	"Colorectal Cancer":100%;
REEP4	No	1	"Blood Cancer":100%;
REEP6	No	1	"Colorectal Cancer":100%;
REL	Yes	1	"Blood Cancer":100%;
RELA	No	1	"Blood Cancer":100%;
RELB	No	1	"Colorectal Cancer":100%;
RELL1	No	1	"Liver Cancer":100%;
RELN	No	1	"Liver Cancer":100%;
REM2	No	1	"Blood Cancer":100%;
REST	No	1	"Blood Cancer":100%;
RETSAT	No	1	"Colorectal Cancer":100%;
REXO2	No	1	"Pancreatic Cancer":100%;
REXO5	No	1	"Blood Cancer":100%;
RFC2	No	1	"Blood Cancer":100%;
RFC4	No	1	"Colorectal Cancer":100%;
RFESD	No	1	"Nervous System Cancer":100%;
RFFL	No	1	"Liver Cancer":100%;
RFK	No	1	"Blood Cancer":100%;
"ZNF664-RFLNA RFLNA"	No	1	"Colorectal Cancer":100%;
RFT1	No	1	"Colorectal Cancer":100%;
RFWD3	Yes	1	"Colorectal Cancer":100%;
RFX1	No	1	"Blood Cancer":100%;
RFX2	No	1	"Liver Cancer":100%;
RFX4	No	1	"Blood Cancer":100%;
RGCC	No	1	"Blood Cancer":100%;
RGL1	No	1	"Blood Cancer":100%;
RGMA	No	1	"Colorectal Cancer":100%;
RGN	No	1	"Colorectal Cancer":100%;
RGS1	No	1	Sarcoma:100%;
RGS10	No	1	"Colorectal Cancer":100%;
RGS11	No	1	"Colorectal Cancer":100%;
RGS12	No	1	"Blood Cancer":100%;
RGS13	No	1	Sarcoma:100%;
RGS2	No	1	Sarcoma:100%;
RGS6	No	1	"Liver Cancer":100%;
RGS9	No	1	"Colorectal Cancer":100%;
RGSL1	No	1	"Blood Cancer":100%;
RHBDD2	No	1	"Blood Cancer":100%;
RHBG	No	1	"Colorectal Cancer":100%;
"RHCE RHD"	No	1	"Blood Cancer":100%;
RHEBL1	No	1	"Colorectal Cancer":100%;
RHNO1	No	1	"Colorectal Cancer":100%;
RHOBTB2	No	1	"Blood Cancer":100%;
RHOC	No	1	"Colorectal Cancer":100%;
RHOH	Yes	1	"Colorectal Cancer":100%;
RHOJ	No	1	"Colorectal Cancer":100%;
RIBC1	No	1	"Colorectal Cancer":100%;
RIBC2	No	1	"Colorectal Cancer":100%;
RIC8B	No	1	"Blood Cancer":100%;
RIDA	No	1	"Liver Cancer":100%;
RILP	No	1	"Liver Cancer":100%;
RILPL2	No	1	"Colorectal Cancer":100%;
RIMS1	No	1	"Nervous System Cancer":100%;
RIMS3	No	1	"Blood Cancer":100%;
RINL	No	1	"Colorectal Cancer":100%;
RIOK1	No	1	"Colorectal Cancer":100%;
RIPK2	No	1	"Blood Cancer":100%;
RIPOR3	No	1	"Blood Cancer":100%;
RIPPLY1	No	1	"Colorectal Cancer":100%;
RLBP1	No	1	"Colorectal Cancer":100%;
RLN1	No	1	"Blood Cancer":100%;
RNASEH2A	No	1	"Colorectal Cancer":100%;
RNASEH2C	No	1	"Blood Cancer":100%;
RNASET2	No	1	"Blood Cancer":100%;
RND2	No	1	"Blood Cancer":100%;
RND3	No	1	"Liver Cancer":100%;
RNF123	No	1	"Colorectal Cancer":100%;
RNF126	No	1	"Colorectal Cancer":100%;
RNF135	No	1	"Blood Cancer":100%;
RNF138	No	1	"Colorectal Cancer":100%;
RNF139	No	1	"Liver Cancer":100%;
RNF14	No	1	"Liver Cancer":100%;
RNF141	No	1	"Blood Cancer":100%;
RNF144A	No	1	"Nervous System Cancer":100%;
RNF145	No	1	"Nervous System Cancer":100%;
RNF157	No	1	"Blood Cancer":100%;
RNF167	No	1	"Colorectal Cancer":100%;
RNF17	No	1	"Blood Cancer":100%;
RNF19B	No	1	"Blood Cancer":100%;
RNF207	No	1	"Liver Cancer":100%;
RNF208	No	1	"Colorectal Cancer":100%;
RNF220	No	1	"Blood Cancer":100%;
RNF224	No	1	"Colorectal Cancer":100%;
RNF26	No	1	"Blood Cancer":100%;
RNF31	No	1	"Colorectal Cancer":100%;
RNF7	No	1	"Colorectal Cancer":100%;
RNFT1	No	1	"Blood Cancer":100%;
RNFT2	No	1	"Blood Cancer":100%;
RNGTT	No	1	"Blood Cancer":100%;
RNMT	No	1	"Blood Cancer":100%;
RNPEP	No	1	"Colorectal Cancer":100%;
RO60	No	1	"Blood Cancer":100%;
ROGDI	No	1	"Liver Cancer":100%;
ROPN1	No	1	"Blood Cancer":100%;
ROPN1L	No	1	"Liver Cancer":100%;
ROR1	No	1	"Breast Cancer":100%;
RORB	No	1	"Blood Cancer":100%;
RP2	No	1	"Colorectal Cancer":100%;
RPA2	No	1	"Blood Cancer":100%;
RPAP2	No	1	"Blood Cancer":100%;
RPAP3	No	1	"Blood Cancer":100%;
RPF1	No	1	"Pancreatic Cancer":100%;
RPL21	No	1	"Colorectal Cancer":100%;
RPL22	Yes	1	"Liver Cancer":100%;
RPL27	No	1	"Gastric Cancer":100%;
RPL3	No	1	"Colorectal Cancer":100%;
RPL35A	No	1	"Liver Cancer":100%;
RPL36AL	No	1	"Colorectal Cancer":100%;
RPL37	No	1	"Liver Cancer":100%;
RPL37A	No	1	"Blood Cancer":100%;
RPL41	No	1	"Colorectal Cancer":100%;
RPL6	No	1	"Blood Cancer":100%;
RPL7L1	No	1	"Colorectal Cancer":100%;
RPL9	No	1	"Liver Cancer":100%;
RPLP1	No	1	"Blood Cancer":100%;
RPLP2	No	1	"Colorectal Cancer":100%;
RPP14	No	1	"Colorectal Cancer":100%;
RPRD1A	No	1	"Blood Cancer":100%;
RPS10	No	1	"Colorectal Cancer":100%;
RPS14	No	1	"Blood Cancer":100%;
RPS17	No	1	"Blood Cancer":100%;
RPS19BP1	No	1	"Colorectal Cancer":100%;
RPS20	No	1	"Blood Cancer":100%;
RPS21	No	1	"Colorectal Cancer":100%;
RPS26	No	1	"Blood Cancer":100%;
RPS27	No	1	"Colorectal Cancer":100%;
RPS28	No	1	"Colorectal Cancer":100%;
RPS3A	No	1	"Colorectal Cancer":100%;
RPS6	No	1	"Colorectal Cancer":100%;
RPS6KC1	No	1	"Blood Cancer":100%;
RPS7	No	1	"Liver Cancer":100%;
RPS9	No	1	"Liver Cancer":100%;
RPUSD3	No	1	"Blood Cancer":100%;
RPUSD4	No	1	"Blood Cancer":100%;
RRAD	No	1	"Colorectal Cancer":100%;
RRAGA	No	1	"Blood Cancer":100%;
RRAGB	No	1	"Blood Cancer":100%;
RRM2B	No	1	"Colorectal Cancer":100%;
RRN3	No	1	"Colorectal Cancer":100%;
RRP1	No	1	"Colorectal Cancer":100%;
RRP12	No	1	"Blood Cancer":100%;
RRP7A	No	1	"Breast Cancer":100%;
RSL1D1	No	1	"Liver Cancer":100%;
RTCA	No	1	"Blood Cancer":100%;
RTKN2	No	1	"Colorectal Cancer":100%;
RTN2	No	1	"Colorectal Cancer":100%;
RTTN	No	1	"Blood Cancer":100%;
RUBCNL	No	1	"Colorectal Cancer":100%;
RUFY3	No	1	"Liver Cancer":100%;
RUNDC3A	No	1	"Colorectal Cancer":100%;
RUSC1	No	1	"Colorectal Cancer":100%;
RUVBL2	No	1	"Colorectal Cancer":100%;
RWDD2B	No	1	"Blood Cancer":100%;
RXFP1	No	1	"Blood Cancer":100%;
RXFP2	No	1	"Blood Cancer":100%;
RXFP4	No	1	"Colorectal Cancer":100%;
RXYLT1	No	1	"Liver Cancer":100%;
S100A10	No	1	"Liver Cancer":100%;
S100A13	No	1	"Blood Cancer":100%;
S100A14	No	1	"Blood Cancer":100%;
S100A16	No	1	"Blood Cancer":100%;
S100A3	No	1	"Blood Cancer":100%;
S100A4	No	1	"Blood Cancer":100%;
S100A5	No	1	"Blood Cancer":100%;
S100A6	No	1	"Blood Cancer":100%;
S1PR2	No	1	"Blood Cancer":100%;
S1PR4	No	1	"Colorectal Cancer":100%;
S1PR5	No	1	"Colorectal Cancer":100%;
SAG	No	1	"Blood Cancer":100%;
SAMD12	No	1	"Liver Cancer":100%;
SAMD14	No	1	"Liver Cancer":100%;
SAMD4B	No	1	"Blood Cancer":100%;
SAMD7	No	1	"Colorectal Cancer":100%;
SAMHD1	No	1	"Blood Cancer":100%;
SAP30	No	1	"Blood Cancer":100%;
SAPCD2	No	1	"Blood Cancer":100%;
SARM1	No	1	"Blood Cancer":100%;
SARS1	No	1	"Blood Cancer":100%;
SARS2	No	1	"Colorectal Cancer":100%;
SASH3	No	1	"Colorectal Cancer":100%;
SAT1	No	1	"Colorectal Cancer":100%;
SAT2	No	1	"Colorectal Cancer":100%;
SAXO1	No	1	"Blood Cancer":100%;
SBDS	Yes	1	"Colorectal Cancer":100%;
SC5D	No	1	"Liver Cancer":100%;
SCAND1	No	1	"Colorectal Cancer":100%;
SCARF2	No	1	"Colorectal Cancer":100%;
SCCPDH	No	1	"Blood Cancer":100%;
SCGB1A1	No	1	"Blood Cancer":100%;
SCGB3A1	No	1	"Blood Cancer":100%;
SCGN	No	1	"Nervous System Cancer":100%;
SCIN	No	1	"Blood Cancer":100%;
SCLY	No	1	"Blood Cancer":100%;
SCML2	No	1	"Colorectal Cancer":100%;
SCN10A	No	1	"Blood Cancer":100%;
SCN7A	No	1	"Nervous System Cancer":100%;
SCNM1	No	1	"Skin Cancer":100%;
SCNN1A	No	1	"Pancreatic Cancer":100%;
SCNN1G	No	1	"Blood Cancer":100%;
SCRIB	No	1	"Colorectal Cancer":100%;
SCT	No	1	"Colorectal Cancer":100%;
SCUBE2	No	1	"Blood Cancer":100%;
SCYL1	No	1	"Blood Cancer":100%;
SCYL3	No	1	"Blood Cancer":100%;
SDAD1	No	1	"Liver Cancer":100%;
SDCCAG8	No	1	"Blood Cancer":100%;
SDF2L1	No	1	"Colorectal Cancer":100%;
SDF4	No	1	"Nervous System Cancer":100%;
SDK1	No	1	"Liver Cancer":100%;
SEC13	No	1	"Liver Cancer":100%;
SEC14L2	No	1	"Liver Cancer":100%;
SEC22A	No	1	"Blood Cancer":100%;
SECTM1	No	1	"Colorectal Cancer":100%;
SEH1L	No	1	"Colorectal Cancer":100%;
SEL1L2	No	1	"Liver Cancer":100%;
SELE	No	1	"Blood Cancer":100%;
SELENOP	No	1	"Liver Cancer":100%;
SELENOS	No	1	"Liver Cancer":100%;
SELL	No	1	"Blood Cancer":100%;
SEMA3A	No	1	Mixed:100%;
SEMA4A	No	1	"Blood Cancer":100%;
SEMA5A	No	1	Sarcoma:100%;
SEMA6B	No	1	"Colorectal Cancer":100%;
SEMA7A	No	1	"Colorectal Cancer":100%;
SENP2	No	1	"Colorectal Cancer":100%;
SENP3	No	1	"Colorectal Cancer":100%;
SEPHS2	No	1	"Blood Cancer":100%;
SEPTIN4	No	1	"Colorectal Cancer":100%;
SEPTIN6	No	1	"Colorectal Cancer":100%;
SERAC1	No	1	"Blood Cancer":100%;
"SERF1A SERF1B"	No	1	"Blood Cancer":100%;
SERGEF	No	1	"Blood Cancer":100%;
SERPINA10	No	1	"Liver Cancer":100%;
SERPINA3	No	1	"Liver Cancer":100%;
SERPINB6	No	1	"Blood Cancer":100%;
SERPINB7	No	1	"Liver Cancer":100%;
SERPINF1	No	1	"Blood Cancer":100%;
SERPINF2	No	1	"Liver Cancer":100%;
SERPING1	No	1	"Colorectal Cancer":100%;
SERPINH1	No	1	"Blood Cancer":100%;
SERTAD1	No	1	"Blood Cancer":100%;
SESN1	No	1	"Blood Cancer":100%;
SET	Yes	1	"Colorectal Cancer":100%;
SETD6	No	1	"Colorectal Cancer":100%;
SETD7	No	1	"Colorectal Cancer":100%;
SETDB2	No	1	"Blood Cancer":100%;
SETX	No	1	"Blood Cancer":100%;
SF3B2	No	1	"Blood Cancer":100%;
SF3B6	No	1	"Colorectal Cancer":100%;
SFN	No	1	"Colorectal Cancer":100%;
SFRP4	Yes	1	"Blood Cancer":100%;
SFSWAP	No	1	"Liver Cancer":100%;
SFT2D1	No	1	"Liver Cancer":100%;
SFXN3	No	1	"Colorectal Cancer":100%;
SGF29	No	1	"Blood Cancer":100%;
"SGK3 C8orf44-SGK3"	No	1	"Blood Cancer":100%;
SGMS2	No	1	"Pancreatic Cancer":100%;
SGO1	No	1	Mixed:100%;
SGPP1	No	1	"Colorectal Cancer":100%;
SGSM1	No	1	"Colorectal Cancer":100%;
SGTA	No	1	"Pancreatic Cancer":100%;
SGTB	No	1	"Blood Cancer":100%;
SH2B1	No	1	"Blood Cancer":100%;
SH2D3C	No	1	"Colorectal Cancer":100%;
SH2D4B	No	1	"Colorectal Cancer":100%;
SH2D6	No	1	"Colorectal Cancer":100%;
SH3BGRL	No	1	"Liver Cancer":100%;
SH3BGRL2	No	1	"Colorectal Cancer":100%;
SH3BGRL3	No	1	"Colorectal Cancer":100%;
SH3BP5L	No	1	"Blood Cancer":100%;
SH3GLB1	No	1	"Liver Cancer":100%;
SH3PXD2B	No	1	"Skin Cancer":100%;
SHANK1	No	1	"Blood Cancer":100%;
SHC4	No	1	"Blood Cancer":100%;
SHCBP1	No	1	"Blood Cancer":100%;
SHD	No	1	"Colorectal Cancer":100%;
SHE	No	1	"Blood Cancer":100%;
SHH	No	1	"Colorectal Cancer":100%;
SHISA9	No	1	"Blood Cancer":100%;
SHISAL2A	No	1	"Blood Cancer":100%;
SHOC1	No	1	"Blood Cancer":100%;
SHPK	No	1	"Blood Cancer":100%;
SHPRH	No	1	"Blood Cancer":100%;
SHQ1	No	1	"Blood Cancer":100%;
SHROOM4	No	1	"Nervous System Cancer":100%;
SIDT1	No	1	"Colorectal Cancer":100%;
SIGLEC1	No	1	"Breast Cancer":100%;
SIGMAR1	No	1	"Blood Cancer":100%;
SIMC1	No	1	"Blood Cancer":100%;
SIPA1	No	1	"Blood Cancer":100%;
SIRT2	No	1	"Colorectal Cancer":100%;
SIRT5	No	1	"Colorectal Cancer":100%;
SIRT6	No	1	"Colorectal Cancer":100%;
SIRT7	No	1	"Gastric Cancer":100%;
SIVA1	No	1	"Colorectal Cancer":100%;
SIX4	No	1	"Blood Cancer":100%;
SIX5	No	1	"Colorectal Cancer":100%;
SKA2	No	1	"Blood Cancer":100%;
SKAP2	No	1	"Blood Cancer":100%;
SKIDA1	No	1	"Colorectal Cancer":100%;
SKIV2L	No	1	"Colorectal Cancer":100%;
SLA	No	1	"Blood Cancer":100%;
SLAMF7	No	1	"Blood Cancer":100%;
SLBP	No	1	"Blood Cancer":100%;
SLC10A6	No	1	"Colorectal Cancer":100%;
SLC12A4	No	1	"Colorectal Cancer":100%;
SLC12A5	No	1	"Colorectal Cancer":100%;
SLC12A6	No	1	"Blood Cancer":100%;
SLC13A2	No	1	"Blood Cancer":100%;
SLC13A5	No	1	"Blood Cancer":100%;
SLC15A1	No	1	"Colorectal Cancer":100%;
SLC16A1	No	1	"Liver Cancer":100%;
SLC16A3	No	1	"Colorectal Cancer":100%;
SLC16A6	No	1	"Colorectal Cancer":100%;
SLC17A1	No	1	"Nervous System Cancer":100%;
SLC17A4	No	1	"Nervous System Cancer":100%;
SLC17A5	No	1	"Colorectal Cancer":100%;
SLC17A6	No	1	"Blood Cancer":100%;
SLC18A1	No	1	"Liver Cancer":100%;
SLC18A2	No	1	"Blood Cancer":100%;
SLC1A6	No	1	"Blood Cancer":100%;
SLC20A1	No	1	"Blood Cancer":100%;
SLC22A13	No	1	"Liver Cancer":100%;
SLC22A3	No	1	"Blood Cancer":100%;
SLC22A6	No	1	"Colorectal Cancer":100%;
SLC22A8	No	1	"Colorectal Cancer":100%;
SLC23A2	No	1	"Blood Cancer":100%;
SLC24A4	No	1	"Blood Cancer":100%;
